Date,Price,Open,High,Low,Vol.,Change %
18-10-2024,52094.20,51261.00,52199.45,51000.90,139.08M,0.02
17-10-2024,51288.80,51849.30,51930.20,51150.25,107.82M,-0.01
16-10-2024,51801.05,51711.20,52031.60,51711.20,94.42M,0.00
15-10-2024,51906.00,51975.95,52022.05,51698.75,101.41M,0.00
14-10-2024,51816.90,51263.25,51893.00,51220.85,126.59M,0.01
11-10-2024,51172.30,51491.90,51560.00,51005.85,109.42M,-0.01
10-10-2024,51530.90,51195.70,51659.45,51047.00,123.69M,0.01
09-10-2024,51007.00,51161.75,51707.15,50903.75,310.00M,0.00
08-10-2024,51021.00,50736.10,51176.05,50466.00,153.21M,0.01
07-10-2024,50478.90,51543.20,51784.80,50194.30,328.68M,-0.02
04-10-2024,51462.05,51643.75,52358.35,51347.25,255.77M,-0.01
03-10-2024,51845.20,52314.45,52582.95,51683.40,272.33M,-0.02
01-10-2024,52922.60,52844.00,53235.25,52817.80,240.16M,0.00
30-09-2024,52978.10,53556.95,53726.40,52926.55,179.32M,-0.02
27-09-2024,53834.30,54338.70,54338.70,53763.20,217.42M,-0.01
26-09-2024,54375.35,54045.85,54467.35,54010.90,170.54M,0.01
25-09-2024,54101.65,53794.00,54141.30,53792.85,184.56M,0.00
24-09-2024,53968.60,54110.65,54247.70,53904.65,192.60M,0.00
23-09-2024,54105.80,53917.90,54197.95,53741.40,163.67M,0.01
20-09-2024,53793.20,53235.80,54066.10,53037.60,271.88M,0.01
19-09-2024,53037.60,52929.25,53353.30,52847.90,164.88M,0.01
18-09-2024,52750.40,52177.10,52954.20,52154.55,205.13M,0.01
17-09-2024,52188.65,52249.05,52284.60,52085.50,111.43M,0.00
16-09-2024,52153.15,52038.70,52208.70,51921.45,93.78M,0.00
13-09-2024,51938.05,51952.55,51994.10,51643.95,151.96M,0.00
12-09-2024,51772.40,51271.00,51878.10,51025.00,127.90M,0.01
11-09-2024,51010.00,51218.55,51420.15,50947.70,145.07M,-0.01
10-09-2024,51272.30,51328.30,51366.00,50958.25,119.25M,0.00
09-09-2024,51117.80,50549.25,51192.75,50369.40,172.39M,0.01
06-09-2024,50576.85,51200.40,51380.05,50447.30,185.97M,-0.02
05-09-2024,51473.05,51544.25,51636.75,51389.15,129.64M,0.00
04-09-2024,51400.25,51364.65,51503.55,51259.90,159.70M,-0.01
03-09-2024,51689.10,51479.75,51750.10,51240.05,127.21M,0.00
02-09-2024,51439.55,51579.50,51579.50,51295.80,150.15M,0.00
30-08-2024,51351.00,51437.45,51466.55,51256.00,478.57M,0.00
29-08-2024,51152.75,51103.75,51368.95,50984.40,143.63M,0.00
28-08-2024,51143.85,51208.95,51260.75,51033.70,128.09M,0.00
27-08-2024,51278.75,51214.05,51404.70,50938.10,111.42M,0.00
26-08-2024,51148.10,51100.65,51317.85,51061.55,100.32M,0.00
23-08-2024,50933.45,51040.05,51117.85,50856.70,88.48M,0.00
22-08-2024,50985.70,50894.80,51080.00,50794.45,133.06M,0.01
21-08-2024,50685.55,50666.65,50772.45,50333.35,180.80M,0.00
20-08-2024,50803.15,50417.25,51025.60,50398.60,144.16M,0.01
19-08-2024,50368.35,50683.55,50728.25,50283.55,115.32M,0.00
16-08-2024,50516.90,50133.00,50603.40,49806.05,130.69M,0.02
14-08-2024,49727.30,49887.15,49959.25,49654.65,137.13M,0.00
13-08-2024,49831.85,50395.35,50559.25,49785.10,148.94M,-0.01
12-08-2024,50577.95,50412.60,50830.70,50149.25,163.54M,0.00
09-08-2024,50484.50,50612.10,50707.75,50386.45,120.15M,0.01
08-08-2024,50156.70,50051.90,50440.75,49829.60,124.82M,0.00
07-08-2024,50119.00,50286.20,50292.45,49782.20,170.99M,0.01
06-08-2024,49748.30,50436.90,50688.80,49659.05,162.84M,-0.01
05-08-2024,50092.10,50586.25,50747.55,49719.10,257.77M,-0.02
02-08-2024,51350.15,51172.25,51608.70,51087.85,162.98M,0.00
01-08-2024,51564.00,51672.60,51877.15,51456.20,156.35M,0.00
31-07-2024,51553.40,51583.45,51663.10,51335.70,219.03M,0.00
30-07-2024,51499.30,51383.90,51957.75,51260.05,235.23M,0.00
29-07-2024,51406.25,51546.65,52340.25,51186.95,513.70M,0.00
26-07-2024,51295.95,50456.10,51398.60,50438.30,215.68M,0.01
25-07-2024,50888.75,50762.30,51006.10,50559.90,188.41M,-0.01
24-07-2024,51317.00,51657.65,51944.65,50784.25,292.24M,-0.01
23-07-2024,51778.30,52511.00,52547.55,51342.65,207.78M,-0.01
22-07-2024,52280.40,52145.60,52427.00,51874.55,175.25M,0.00
19-07-2024,52265.60,52531.55,52586.75,52146.30,134.14M,-0.01
18-07-2024,52620.70,52215.05,52782.75,52168.65,139.45M,0.00
16-07-2024,52396.80,52466.70,52619.05,52331.60,158.80M,0.00
15-07-2024,52455.90,52330.05,52662.25,52154.00,186.15M,0.00
12-07-2024,52278.90,52272.65,52794.55,52171.15,170.98M,0.00
