f,Price,Open,High,Low,Vol.,Change %
18-10-2024,1681.85,1663.10,1691.00,1654.10,12.40M,0.01
17-10-2024,1673.15,1694.95,1697.65,1665.20,7.35M,-0.02
16-10-2024,1699.80,1680.10,1707.95,1680.10,10.24M,0.01
15-10-2024,1684.10,1694.00,1698.00,1675.50,9.83M,0.00
14-10-2024,1688.10,1656.05,1692.05,1654.00,9.26M,0.02
11-10-2024,1651.00,1664.45,1664.45,1643.25,11.84M,-0.01
10-10-2024,1662.40,1639.00,1665.45,1632.50,10.88M,0.02
09-10-2024,1633.15,1649.50,1656.75,1628.70,20.56M,-0.01
08-10-2024,1651.05,1630.00,1656.80,1622.00,14.87M,0.02
07-10-2024,1617.80,1652.20,1659.00,1613.00,47.23M,-0.02
04-10-2024,1657.65,1674.50,1690.65,1653.00,24.34M,-0.01
03-10-2024,1682.00,1715.65,1726.15,1673.35,24.24M,-0.03
01-10-2024,1726.20,1724.00,1742.00,1720.10,12.29M,0.00
30-09-2024,1732.05,1748.80,1751.45,1724.40,13.19M,-0.01
27-09-2024,1752.65,1777.00,1778.20,1750.00,17.81M,-0.02
26-09-2024,1783.45,1773.05,1788.00,1768.05,15.95M,0.00
25-09-2024,1779.10,1760.15,1788.00,1760.15,15.98M,0.01
24-09-2024,1768.05,1765.00,1781.65,1754.25,16.52M,0.00
23-09-2024,1759.80,1749.00,1766.35,1740.25,13.48M,0.01
20-09-2024,1741.20,1716.50,1744.95,1707.55,30.31M,0.02
19-09-2024,1708.50,1699.20,1719.00,1699.15,15.33M,0.01
18-09-2024,1694.80,1671.85,1698.90,1671.10,20.46M,0.02
17-09-2024,1668.80,1678.00,1678.00,1664.15,10.06M,0.00
16-09-2024,1670.95,1667.00,1677.80,1664.05,7.59M,0.00
13-09-2024,1665.95,1674.00,1674.00,1657.05,11.93M,0.00
12-09-2024,1666.60,1654.00,1670.00,1647.05,16.21M,0.01
11-09-2024,1643.90,1650.40,1652.50,1639.20,11.11M,0.00
10-09-2024,1650.35,1654.00,1654.00,1638.00,13.30M,0.00
09-09-2024,1646.50,1638.00,1648.50,1630.10,11.90M,0.01
06-09-2024,1636.95,1638.30,1647.75,1634.10,13.01M,-0.01
05-09-2024,1645.45,1646.00,1649.90,1642.00,11.44M,0.00
04-09-2024,1641.80,1639.00,1644.80,1632.00,12.34M,0.00
03-09-2024,1637.35,1634.00,1639.95,1624.60,18.64M,0.01
02-09-2024,1626.95,1646.80,1646.80,1623.20,17.02M,-0.01
30-08-2024,1636.90,1656.00,1662.00,1621.15,222.67M,0.00
29-08-2024,1638.55,1642.00,1644.40,1631.15,24.53M,0.00
28-08-2024,1637.10,1637.75,1639.75,1630.20,13.46M,0.00
27-08-2024,1637.75,1643.40,1647.40,1632.20,17.89M,0.00
26-08-2024,1639.95,1632.20,1647.95,1632.20,11.18M,0.01
23-08-2024,1625.05,1634.00,1634.00,1623.00,10.17M,0.00
22-08-2024,1631.30,1632.00,1638.30,1628.00,10.65M,0.00
21-08-2024,1625.80,1628.10,1634.55,1617.80,23.82M,-0.01
20-08-2024,1637.70,1627.45,1646.00,1627.45,15.57M,0.00
19-08-2024,1631.55,1637.65,1637.65,1623.70,9.75M,0.00
16-08-2024,1632.10,1628.50,1634.15,1611.00,13.92M,0.02
14-08-2024,1607.80,1606.50,1613.70,1603.20,16.17M,0.00
13-08-2024,1603.20,1628.00,1632.40,1601.15,27.03M,-0.03
12-08-2024,1660.10,1652.00,1675.95,1647.35,19.66M,0.01
09-08-2024,1650.20,1652.00,1662.55,1645.80,13.32M,0.00
08-08-2024,1642.70,1624.00,1653.30,1619.25,16.99M,0.01
07-08-2024,1623.50,1617.00,1630.00,1602.20,21.17M,0.01
06-08-2024,1601.20,1630.00,1632.95,1593.30,22.56M,-0.01
05-08-2024,1615.75,1640.10,1646.00,1601.00,20.67M,-0.03
02-08-2024,1659.15,1631.00,1670.50,1631.00,22.06M,0.01
01-08-2024,1638.80,1622.90,1650.05,1617.95,13.11M,0.01
31-07-2024,1615.75,1614.00,1627.90,1609.20,18.91M,0.00
30-07-2024,1615.55,1602.00,1634.75,1599.00,27.30M,0.01
29-07-2024,1605.05,1615.00,1631.85,1598.30,25.50M,-0.01
26-07-2024,1618.15,1605.00,1621.75,1596.45,21.91M,0.00
25-07-2024,1616.60,1593.00,1625.00,1593.00,12.77M,0.01
24-07-2024,1604.05,1608.15,1621.00,1588.05,30.86M,-0.01
23-07-2024,1618.40,1647.55,1647.80,1605.00,26.00M,-0.01
22-07-2024,1642.55,1617.00,1651.00,1612.65,26.87M,0.02
19-07-2024,1607.30,1616.00,1623.00,1603.50,13.00M,0.00
18-07-2024,1614.80,1608.00,1623.95,1599.15,16.86M,0.00
16-07-2024,1619.75,1620.75,1627.00,1616.80,14.48M,0.00
15-07-2024,1622.10,1623.50,1629.80,1615.20,16.69M,0.00
12-07-2024,1622.70,1622.00,1638.40,1611.15,28.02M,0.00
11-07-2024,1621.90,1623.95,1625.85,1601.00,22.09M,0.00
10-07-2024,1626.10,1629.95,1640.00,1620.75,22.75M,-0.01
09-07-2024,1636.50,1625.00,1646.70,1620.35,24.28M,0.00
08-07-2024,1635.35,1645.30,1654.95,1627.15,19.54M,-0.01
05-07-2024,1648.10,1685.00,1685.00,1642.20,41.12M,-0.05
04-07-2024,1727.15,1759.75,1759.75,1724.85,22.92M,-0.02
03-07-2024,1768.65,1791.00,1794.00,1764.65,61.61M,0.02
02-07-2024,1730.60,1715.00,1734.90,1702.75,22.96M,0.01
01-07-2024,1705.20,1680.00,1707.30,1680.00,10.59M,0.01
28-06-2024,1683.80,1697.60,1706.60,1679.00,13.24M,-0.01
27-06-2024,1696.15,1696.10,1713.00,1686.60,27.54M,0.00
26-06-2024,1701.50,1707.95,1710.90,1691.10,23.80M,-0.01
25-06-2024,1711.35,1671.10,1716.95,1671.10,37.26M,0.02
24-06-2024,1672.40,1647.00,1675.10,1645.75,14.27M,0.00
21-06-2024,1665.75,1672.85,1672.85,1643.15,25.82M,0.00
20-06-2024,1669.35,1669.80,1681.45,1652.00,20.70M,0.01
19-06-2024,1657.85,1613.40,1669.90,1604.00,45.07M,0.03
18-06-2024,1607.80,1596.90,1610.50,1589.45,16.21M,0.01
14-06-2024,1596.90,1584.00,1599.00,1577.70,12.77M,0.01
13-06-2024,1580.75,1581.75,1585.70,1574.00,12.06M,0.00
12-06-2024,1574.15,1575.00,1588.30,1566.40,19.64M,0.01
