Date,Market_Score
20-10-2024,56.63
19-10-2024,56.6
18-10-2024,68.46
17-10-2024,85.03
16-10-2024,81.73
15-10-2024,66.56
14-10-2024,33.33
13-10-2024,36.66
12-10-2024,37.1
11-10-2024,70.43
10-10-2024,70.43
09-10-2024,86.66
08-10-2024,70
07-10-2024,70
06-10-2024,36.7
05-10-2024,53.37
04-10-2024,50.036
03-10-2024,82.76
02-10-2024,66.3
01-10-2024,66.3
30-09-2024,58.23
29-09-2024,61.56
28-09-2024,64.6
27-09-2024,73.03
26-09-2024,86.36
25-09-2024,83.33
24-09-2024,66.66
23-09-2024,53.33
22-09-2024,50
21-09-2024,50
20-09-2024,60
